시군구명,법정동명,상세영업상태명,영업상태수
강남구,개포동,영업,71
강남구,개포동,폐업,169
강남구,논현동,영업,238
강남구,논현동,폐업,489
강남구,대치동,영업,260
강남구,대치동,폐업,410
강남구,도곡동,영업,81
강남구,도곡동,폐업,138
강남구,삼성동,영업,214
강남구,삼성동,폐업,846
강남구,세곡동,영업,18
강남구,세곡동,폐업,11
강남구,수서동,영업,34
강남구,수서동,폐업,18
강남구,신사동,영업,240
강남구,신사동,폐업,583
강남구,압구정동,영업,25
강남구,압구정동,폐업,69
강남구,역삼동,영업,479
강남구,역삼동,폐업,802
강남구,율현동,영업,5
강남구,율현동,폐업,3
강남구,일원동,영업,33
강남구,일원동,폐업,39
강남구,자곡동,영업,13
강남구,자곡동,폐업,6
강남구,청담동,영업,103
강남구,청담동,폐업,188
강동구,강일동,영업,7
강동구,강일동,폐업,8
강동구,고덕동,영업,23
강동구,고덕동,폐업,32
강동구,길동,영업,44
강동구,길동,폐업,146
강동구,둔촌동,영업,36
강동구,둔촌동,폐업,56
강동구,명일동,영업,65
강동구,명일동,폐업,138
강동구,상일동,영업,26
강동구,상일동,폐업,47
강동구,성내동,영업,130
강동구,성내동,폐업,295
강동구,암사동,영업,52
강동구,암사동,폐업,100
강동구,천호동,영업,106
강동구,천호동,폐업,329
강북구,미아동,영업,104
강북구,미아동,폐업,246
강북구,번동,영업,33
강북구,번동,폐업,73
강북구,수유동,영업,79
강북구,수유동,폐업,228
강북구,우이동,영업,9
강북구,우이동,폐업,22
강서구,가양동,영업,43
강서구,가양동,폐업,35
강서구,개화동,폐업,3
강서구,공항동,영업,32
강서구,공항동,폐업,27
강서구,과해동,영업,2
강서구,내발산동,영업,62
강서구,내발산동,폐업,68
강서구,등촌동,영업,129
강서구,등촌동,폐업,134
강서구,마곡동,영업,216
강서구,마곡동,폐업,61
강서구,방화동,영업,102
강서구,방화동,폐업,138
강서구,염창동,영업,48
강서구,염창동,폐업,61
강서구,오쇠동,영업,1
강서구,외발산동,영업,3
강서구,외발산동,폐업,2
강서구,화곡동,영업,224
강서구,화곡동,폐업,317
관악구,남현동,영업,29
관악구,남현동,폐업,33
관악구,봉천동,영업,241
관악구,봉천동,폐업,490
관악구,신림동,영업,268
관악구,신림동,폐업,570
광진구,광장동,영업,37
광진구,광장동,폐업,38
광진구,구의동,영업,107
광진구,구의동,폐업,160
광진구,군자동,영업,32
광진구,군자동,폐업,56
광진구,능동,영업,20
광진구,능동,폐업,19
광진구,자양동,영업,114
광진구,자양동,폐업,197
광진구,중곡동,영업,70
광진구,중곡동,폐업,122
광진구,화양동,영업,86
광진구,화양동,폐업,175
구로구,가리봉동,영업,7
구로구,가리봉동,폐업,83
구로구,개봉동,영업,58
구로구,개봉동,폐업,122
구로구,고척동,영업,48
구로구,고척동,폐업,132
구로구,구로동,영업,202
구로구,구로동,폐업,452
구로구,궁동,영업,12
구로구,궁동,폐업,13
구로구,신도림동,영업,46
구로구,신도림동,폐업,83
구로구,오류동,영업,31
구로구,오류동,폐업,98
구로구,온수동,영업,12
구로구,온수동,폐업,8
구로구,천왕동,영업,7
구로구,천왕동,폐업,3
구로구,항동,영업,5
금천구,가산동,영업,180
금천구,가산동,폐업,165
금천구,독산동,영업,88
금천구,독산동,폐업,181
금천구,시흥동,영업,84
금천구,시흥동,폐업,219
노원구,공릉동,영업,116
노원구,공릉동,폐업,134
노원구,상계동,영업,184
노원구,상계동,폐업,262
노원구,월계동,영업,56
노원구,월계동,폐업,82
노원구,중계동,영업,96
노원구,중계동,폐업,99
노원구,하계동,영업,27
노원구,하계동,폐업,16
도봉구,도봉동,영업,33
도봉구,도봉동,폐업,96
도봉구,방학동,영업,61
도봉구,방학동,폐업,92
도봉구,쌍문동,영업,64
도봉구,쌍문동,폐업,82
도봉구,창동,영업,103
도봉구,창동,폐업,126
동대문구,답십리동,영업,32
동대문구,답십리동,폐업,171
동대문구,신설동,영업,21
동대문구,신설동,폐업,118
동대문구,용두동,영업,42
동대문구,용두동,폐업,94
동대문구,이문동,영업,48
동대문구,이문동,폐업,109
동대문구,장안동,영업,83
동대문구,장안동,폐업,219
동대문구,전농동,영업,60
동대문구,전농동,폐업,146
동대문구,제기동,영업,30
동대문구,제기동,폐업,101
동대문구,청량리동,영업,18
동대문구,청량리동,폐업,76
동대문구,회기동,영업,49
동대문구,회기동,폐업,94
동대문구,휘경동,영업,41
동대문구,휘경동,폐업,83
동작구,노량진동,영업,90
동작구,노량진동,폐업,142
동작구,대방동,영업,27
동작구,대방동,폐업,49
동작구,동작동,영업,3
동작구,동작동,폐업,6
동작구,본동,영업,6
동작구,본동,폐업,15
동작구,사당동,영업,92
동작구,사당동,폐업,197
동작구,상도1동,영업,27
동작구,상도1동,폐업,25
동작구,상도동,영업,85
동작구,상도동,폐업,139
동작구,신대방동,영업,47
동작구,신대방동,폐업,77
동작구,흑석동,영업,40
동작구,흑석동,폐업,75
마포구,공덕동,영업,35
마포구,공덕동,폐업,70
마포구,구수동,영업,2
마포구,구수동,폐업,8
마포구,노고산동,영업,27
마포구,노고산동,폐업,62
마포구,당인동,영업,2
마포구,당인동,폐업,2
마포구,대흥동,영업,20
마포구,대흥동,폐업,52
마포구,도화동,영업,47
마포구,도화동,폐업,94
마포구,동교동,영업,52
마포구,동교동,폐업,115
마포구,마포동,영업,2
마포구,마포동,폐업,11
마포구,망원동,영업,62
마포구,망원동,폐업,105
마포구,상수동,영업,31
마포구,상수동,폐업,56
마포구,상암동,영업,84
마포구,상암동,폐업,104
마포구,서교동,영업,172
마포구,서교동,폐업,356
마포구,성산동,영업,44
마포구,성산동,폐업,72
마포구,신공덕동,영업,11
마포구,신공덕동,폐업,25
마포구,신수동,영업,24
마포구,신수동,폐업,40
마포구,아현동,영업,25
마포구,아현동,폐업,31
마포구,연남동,영업,70
마포구,연남동,폐업,62
마포구,염리동,영업,9
마포구,염리동,폐업,26
마포구,용강동,영업,6
마포구,용강동,폐업,23
마포구,중동,영업,4
마포구,중동,폐업,5
마포구,창전동,영업,14
마포구,창전동,폐업,33
마포구,토정동,폐업,2
마포구,하중동,폐업,4
마포구,합정동,영업,54
마포구,합정동,폐업,86
마포구,현석동,폐업,2
서대문구,남가좌동,영업,54
서대문구,남가좌동,폐업,104
서대문구,냉천동,영업,7
서대문구,냉천동,폐업,24
서대문구,대신동,영업,6
서대문구,대신동,폐업,8
서대문구,대현동,영업,92
서대문구,대현동,폐업,188
서대문구,미근동,영업,11
서대문구,미근동,폐업,11
서대문구,봉원동,폐업,1
서대문구,북가좌동,영업,40
서대문구,북가좌동,폐업,52
서대문구,북아현동,영업,24
서대문구,북아현동,폐업,45
서대문구,신촌동,영업,19
서대문구,신촌동,폐업,13
서대문구,연희동,영업,74
서대문구,연희동,폐업,129
서대문구,영천동,영업,1
서대문구,영천동,폐업,12
서대문구,옥천동,영업,2
서대문구,옥천동,폐업,4
서대문구,창천동,영업,69
서대문구,창천동,폐업,221
서대문구,천연동,영업,2
서대문구,천연동,폐업,2
서대문구,충정로2가,영업,14
서대문구,충정로2가,폐업,37
서대문구,충정로3가,영업,17
서대문구,충정로3가,폐업,26
서대문구,합동,영업,3
서대문구,합동,폐업,4
서대문구,현저동,영업,1
서대문구,현저동,폐업,3
서대문구,홍은동,영업,40
서대문구,홍은동,폐업,62
서대문구,홍제동,영업,47
서대문구,홍제동,폐업,100
서초구,내곡동,영업,8
서초구,내곡동,폐업,3
서초구,반포동,영업,161
서초구,반포동,폐업,291
서초구,방배동,영업,188
서초구,방배동,폐업,403
서초구,서초동,영업,366
서초구,서초동,폐업,709
서초구,신원동,영업,13
서초구,신원동,폐업,5
서초구,양재동,영업,152
서초구,양재동,폐업,320
서초구,염곡동,영업,4
서초구,염곡동,폐업,4
서초구,우면동,영업,38
서초구,우면동,폐업,23
서초구,원지동,영업,8
서초구,원지동,폐업,7
서초구,잠원동,영업,62
서초구,잠원동,폐업,106
성동구,금호동1가,영업,7
성동구,금호동1가,폐업,14
성동구,금호동2가,영업,2
성동구,금호동2가,폐업,23
성동구,금호동3가,영업,9
성동구,금호동3가,폐업,12
성동구,금호동4가,영업,10
성동구,금호동4가,폐업,26
성동구,도선동,영업,6
성동구,도선동,폐업,36
성동구,마장동,영업,7
성동구,마장동,폐업,52
성동구,사근동,영업,10
성동구,사근동,폐업,5
성동구,상왕십리동,영업,3
성동구,상왕십리동,폐업,29
성동구,성수동1가,영업,87
성동구,성수동1가,폐업,96
성동구,성수동2가,영업,107
성동구,성수동2가,폐업,182
성동구,송정동,영업,5
성동구,송정동,폐업,21
성동구,옥수동,영업,17
성동구,옥수동,폐업,31
성동구,용답동,영업,23
성동구,용답동,폐업,83
성동구,응봉동,영업,2
성동구,응봉동,폐업,4
성동구,하왕십리동,영업,23
성동구,하왕십리동,폐업,36
성동구,행당동,영업,60
성동구,행당동,폐업,134
성동구,홍익동,영업,5
성동구,홍익동,폐업,18
성북구,길음동,영업,40
성북구,길음동,폐업,78
성북구,돈암동,영업,10
성북구,돈암동,폐업,16
성북구,동선동1가,영업,24
성북구,동선동1가,폐업,65
성북구,동선동2가,영업,15
성북구,동선동2가,폐업,14
성북구,동선동3가,영업,4
성북구,동선동3가,폐업,9
성북구,동선동4가,영업,7
성북구,동선동4가,폐업,11
성북구,동선동5가,영업,4
성북구,동선동5가,폐업,3
성북구,동소문동1가,영업,6
성북구,동소문동1가,폐업,6
성북구,동소문동2가,영업,4
성북구,동소문동2가,폐업,14
성북구,동소문동3가,영업,4
성북구,동소문동3가,폐업,1
성북구,동소문동4가,영업,4
성북구,동소문동4가,폐업,7
성북구,동소문동5가,영업,2
성북구,동소문동5가,폐업,12
성북구,동소문동6가,영업,9
성북구,동소문동6가,폐업,12
성북구,동소문동7가,영업,3
성북구,동소문동7가,폐업,3
성북구,보문동1가,영업,2
성북구,보문동1가,폐업,6
성북구,보문동2가,영업,3
성북구,보문동2가,폐업,6
성북구,보문동4가,영업,5
성북구,보문동4가,폐업,7
성북구,보문동5가,영업,1
성북구,보문동5가,폐업,6
성북구,보문동6가,영업,3
성북구,보문동6가,폐업,1
성북구,보문동7가,영업,2
성북구,보문동7가,폐업,15
성북구,삼선동1가,영업,8
성북구,삼선동1가,폐업,11
성북구,삼선동2가,영업,6
성북구,삼선동2가,폐업,14
성북구,삼선동3가,영업,4
성북구,삼선동3가,폐업,2
성북구,삼선동4가,영업,7
성북구,삼선동4가,폐업,10
성북구,삼선동5가,영업,8
성북구,삼선동5가,폐업,23
성북구,상월곡동,영업,10
성북구,상월곡동,폐업,4
성북구,석관동,영업,24
성북구,석관동,폐업,39
성북구,성북동,영업,24
성북구,성북동,폐업,24
성북구,성북동1가,영업,6
성북구,성북동1가,폐업,7
성북구,안암동1가,영업,5
성북구,안암동1가,폐업,4
성북구,안암동2가,영업,4
성북구,안암동2가,폐업,3
성북구,안암동3가,영업,1
성북구,안암동3가,폐업,1
성북구,안암동4가,영업,2
성북구,안암동4가,폐업,4
성북구,안암동5가,영업,52
성북구,안암동5가,폐업,62
성북구,장위동,영업,26
성북구,장위동,폐업,69
성북구,정릉동,영업,53
성북구,정릉동,폐업,86
성북구,종암동,영업,27
성북구,종암동,폐업,43
성북구,하월곡동,영업,49
성북구,하월곡동,폐업,99
송파구,가락동,영업,64
송파구,가락동,폐업,135
송파구,거여동,영업,12
송파구,거여동,폐업,43
송파구,마천동,영업,12
송파구,마천동,폐업,48
송파구,문정동,영업,105
송파구,문정동,폐업,91
송파구,방이동,영업,63
송파구,방이동,폐업,150
송파구,삼전동,영업,22
송파구,삼전동,폐업,59
송파구,석촌동,영업,24
송파구,석촌동,폐업,133
송파구,송파동,영업,41
송파구,송파동,폐업,97
송파구,신천동,영업,45
송파구,신천동,폐업,62
송파구,오금동,영업,18
송파구,오금동,폐업,50
송파구,잠실동,영업,86
송파구,잠실동,폐업,199
송파구,장지동,영업,10
송파구,장지동,폐업,10
송파구,풍납동,영업,17
송파구,풍납동,폐업,52
양천구,목동,영업,177
양천구,목동,폐업,335
양천구,신월동,영업,80
양천구,신월동,폐업,235
양천구,신정동,영업,140
양천구,신정동,폐업,289
영등포구,당산동,영업,4
영등포구,당산동,폐업,16
영등포구,당산동1가,영업,13
영등포구,당산동1가,폐업,52
영등포구,당산동2가,영업,4
영등포구,당산동2가,폐업,32
영등포구,당산동3가,영업,30
영등포구,당산동3가,폐업,73
영등포구,당산동4가,영업,32
영등포구,당산동4가,폐업,31
영등포구,당산동5가,영업,14
영등포구,당산동5가,폐업,26
영등포구,당산동6가,영업,15
영등포구,당산동6가,폐업,32
영등포구,대림동,영업,53
영등포구,대림동,폐업,126
영등포구,도림동,영업,17
영등포구,도림동,폐업,26
영등포구,문래동1가,영업,7
영등포구,문래동1가,폐업,17
영등포구,문래동2가,영업,8
영등포구,문래동2가,폐업,20
영등포구,문래동3가,영업,50
영등포구,문래동3가,폐업,60
영등포구,문래동4가,영업,6
영등포구,문래동4가,폐업,36
영등포구,문래동5가,영업,5
영등포구,문래동5가,폐업,2
영등포구,문래동6가,영업,10
영등포구,문래동6가,폐업,13
영등포구,신길동,영업,93
영등포구,신길동,폐업,174
영등포구,양평동1가,영업,15
영등포구,양평동1가,폐업,48
영등포구,양평동2가,영업,10
영등포구,양평동2가,폐업,26
영등포구,양평동3가,영업,11
영등포구,양평동3가,폐업,14
영등포구,양평동4가,영업,24
영등포구,양평동4가,폐업,52
영등포구,양평동5가,영업,8
영등포구,양평동5가,폐업,22
영등포구,양평동6가,영업,3
영등포구,양평동6가,폐업,2
영등포구,양화동,영업,2
영등포구,여의도동,영업,256
영등포구,여의도동,폐업,333
영등포구,영등포동,영업,30
영등포구,영등포동,폐업,56
영등포구,영등포동1가,영업,2
영등포구,영등포동1가,폐업,9
영등포구,영등포동2가,영업,25
영등포구,영등포동2가,폐업,68
영등포구,영등포동3가,영업,19
영등포구,영등포동3가,폐업,137
영등포구,영등포동4가,영업,48
영등포구,영등포동4가,폐업,83
영등포구,영등포동5가,영업,3
영등포구,영등포동5가,폐업,34
영등포구,영등포동6가,영업,5
영등포구,영등포동6가,폐업,32
영등포구,영등포동7가,영업,19
영등포구,영등포동7가,폐업,46
영등포구,영등포동8가,영업,14
영등포구,영등포동8가,폐업,12
용산구,갈월동,영업,16
용산구,갈월동,폐업,45
용산구,남영동,영업,3
용산구,남영동,폐업,27
용산구,도원동,영업,2
용산구,도원동,폐업,2
용산구,동빙고동,영업,2
용산구,동빙고동,폐업,2
용산구,동자동,영업,18
용산구,동자동,폐업,46
용산구,문배동,영업,5
용산구,문배동,폐업,7
용산구,보광동,영업,6
용산구,보광동,폐업,26
용산구,산천동,영업,2
용산구,산천동,폐업,1
용산구,서계동,영업,6
용산구,서계동,폐업,13
용산구,서빙고동,영업,3
용산구,서빙고동,폐업,1
용산구,신계동,영업,4
용산구,신계동,폐업,17
용산구,신창동,영업,2
용산구,신창동,폐업,1
용산구,용문동,영업,6
용산구,용문동,폐업,11
용산구,용산동1가,영업,2
용산구,용산동1가,폐업,2
용산구,용산동2가,영업,14
용산구,용산동2가,폐업,23
용산구,용산동3가,영업,3
용산구,용산동3가,폐업,3
용산구,용산동4가,폐업,3
용산구,용산동5가,영업,7
용산구,용산동5가,폐업,4
용산구,용산동6가,영업,2
용산구,용산동6가,폐업,1
용산구,원효로1가,영업,14
용산구,원효로1가,폐업,24
용산구,원효로2가,영업,5
용산구,원효로2가,폐업,24
용산구,원효로3가,영업,3
용산구,원효로3가,폐업,11
용산구,원효로4가,영업,6
용산구,원효로4가,폐업,11
용산구,이촌동,영업,20
용산구,이촌동,폐업,34
용산구,이태원동,영업,33
용산구,이태원동,폐업,76
용산구,청파동1가,영업,5
용산구,청파동1가,폐업,5
용산구,청파동2가,영업,32
용산구,청파동2가,폐업,45
용산구,청파동3가,영업,15
용산구,청파동3가,폐업,25
용산구,한강로1가,영업,12
용산구,한강로1가,폐업,29
용산구,한강로2가,영업,46
용산구,한강로2가,폐업,94
용산구,한강로3가,영업,46
용산구,한강로3가,폐업,69
용산구,한남동,영업,60
용산구,한남동,폐업,101
용산구,효창동,영업,9
용산구,효창동,폐업,11
용산구,후암동,영업,20
용산구,후암동,폐업,36
은평구,갈현동,영업,48
은평구,갈현동,폐업,110
은평구,구산동,영업,17
은평구,구산동,폐업,27
은평구,녹번동,영업,25
은평구,녹번동,폐업,49
은평구,대조동,영업,40
은평구,대조동,폐업,73
은평구,불광동,영업,39
은평구,불광동,폐업,64
은평구,수색동,영업,4
은평구,수색동,폐업,15
은평구,신사동,영업,21
은평구,신사동,폐업,35
은평구,역촌동,영업,42
은평구,역촌동,폐업,57
은평구,응암동,영업,59
은평구,응암동,폐업,114
은평구,증산동,영업,13
은평구,증산동,폐업,17
은평구,진관동,영업,55
은평구,진관동,폐업,49
종로구,가회동,영업,7
종로구,가회동,폐업,8
종로구,견지동,영업,11
종로구,견지동,폐업,11
종로구,경운동,영업,5
종로구,경운동,폐업,14
종로구,계동,영업,29
종로구,계동,폐업,14
종로구,공평동,영업,15
종로구,공평동,폐업,14
종로구,관수동,영업,15
종로구,관수동,폐업,22
종로구,관철동,영업,25
종로구,관철동,폐업,114
종로구,관훈동,영업,44
종로구,관훈동,폐업,43
종로구,교남동,영업,4
종로구,교남동,폐업,17
종로구,교북동,영업,4
종로구,교북동,폐업,10
종로구,구기동,영업,7
종로구,구기동,폐업,9
종로구,궁정동,영업,1
종로구,궁정동,폐업,2
종로구,권농동,영업,2
종로구,권농동,폐업,3
종로구,낙원동,영업,10
종로구,낙원동,폐업,50
종로구,내수동,영업,10
종로구,내수동,폐업,22
종로구,내자동,영업,4
종로구,내자동,폐업,16
종로구,누상동,영업,2
종로구,누상동,폐업,5
종로구,누하동,영업,6
종로구,누하동,폐업,10
종로구,당주동,영업,16
종로구,당주동,폐업,25
종로구,도렴동,영업,5
종로구,도렴동,폐업,16
종로구,돈의동,영업,5
종로구,돈의동,폐업,9
종로구,동숭동,영업,39
종로구,동숭동,폐업,61
종로구,명륜1가,영업,4
종로구,명륜1가,폐업,11
종로구,명륜2가,영업,25
종로구,명륜2가,폐업,57
종로구,명륜3가,영업,11
종로구,명륜3가,폐업,7
종로구,명륜4가,영업,16
종로구,명륜4가,폐업,29
종로구,묘동,영업,10
종로구,묘동,폐업,9
종로구,무악동,영업,7
종로구,무악동,폐업,11
종로구,봉익동,영업,8
종로구,봉익동,폐업,16
종로구,부암동,영업,17
종로구,부암동,폐업,15
종로구,사간동,영업,2
종로구,사간동,폐업,7
종로구,사직동,영업,11
종로구,사직동,폐업,5
종로구,삼청동,영업,24
종로구,삼청동,폐업,25
종로구,서린동,영업,15
종로구,서린동,폐업,20
종로구,세종로,영업,19
종로구,세종로,폐업,13
종로구,소격동,영업,8
종로구,소격동,폐업,15
종로구,송월동,폐업,1
종로구,송현동,영업,1
종로구,송현동,폐업,1
종로구,수송동,영업,17
종로구,수송동,폐업,36
종로구,숭인동,영업,28
종로구,숭인동,폐업,92
종로구,신교동,영업,1
종로구,신교동,폐업,2
종로구,신문로1가,영업,19
종로구,신문로1가,폐업,33
종로구,신문로2가,영업,12
종로구,신문로2가,폐업,12
종로구,신영동,영업,8
종로구,신영동,폐업,7
종로구,안국동,영업,10
종로구,안국동,폐업,14
종로구,연건동,영업,19
종로구,연건동,폐업,16
종로구,연지동,영업,17
종로구,연지동,폐업,14
종로구,예지동,영업,5
종로구,예지동,폐업,14
종로구,옥인동,영업,8
종로구,옥인동,폐업,11
종로구,와룡동,영업,11
종로구,와룡동,폐업,17
종로구,운니동,영업,6
종로구,운니동,폐업,7
종로구,원남동,영업,7
종로구,원남동,폐업,7
종로구,원서동,영업,4
종로구,원서동,폐업,6
종로구,이화동,영업,7
종로구,이화동,폐업,9
종로구,익선동,영업,6
종로구,익선동,폐업,8
종로구,인사동,영업,10
종로구,인사동,폐업,36
종로구,인의동,영업,5
종로구,인의동,폐업,12
종로구,장사동,영업,4
종로구,장사동,폐업,11
종로구,재동,영업,6
종로구,재동,폐업,14
종로구,적선동,영업,13
종로구,적선동,폐업,19
종로구,종로1가,영업,13
종로구,종로1가,폐업,24
종로구,종로2가,영업,23
종로구,종로2가,폐업,49
종로구,종로3가,영업,11
종로구,종로3가,폐업,23
종로구,종로4가,영업,6
종로구,종로4가,폐업,8
종로구,종로5가,영업,22
종로구,종로5가,폐업,67
종로구,종로6가,영업,20
종로구,종로6가,폐업,31
종로구,중학동,영업,6
종로구,중학동,폐업,11
종로구,창성동,영업,3
종로구,창성동,폐업,6
종로구,창신동,영업,35
종로구,창신동,폐업,100
종로구,청운동,영업,8
종로구,청운동,폐업,6
종로구,청진동,영업,25
종로구,청진동,폐업,57
종로구,체부동,영업,9
종로구,체부동,폐업,8
종로구,충신동,영업,2
종로구,충신동,폐업,9
종로구,통의동,영업,8
종로구,통의동,폐업,14
종로구,통인동,영업,7
종로구,통인동,폐업,9
종로구,팔판동,영업,4
종로구,팔판동,폐업,11
종로구,평동,영업,11
종로구,평동,폐업,12
종로구,평창동,영업,29
종로구,평창동,폐업,28
종로구,필운동,영업,5
종로구,필운동,폐업,11
종로구,행촌동,영업,1
종로구,행촌동,폐업,2
종로구,혜화동,영업,16
종로구,혜화동,폐업,42
종로구,홍지동,영업,11
종로구,홍지동,폐업,8
종로구,홍파동,폐업,2
종로구,화동,영업,6
종로구,화동,폐업,7
종로구,효자동,영업,3
종로구,효자동,폐업,6
종로구,효제동,영업,8
종로구,효제동,폐업,25
종로구,훈정동,폐업,2
중구,광희동1가,영업,10
중구,광희동1가,폐업,20
중구,광희동2가,영업,5
중구,광희동2가,폐업,7
중구,남대문로1가,영업,1
중구,남대문로1가,폐업,3
중구,남대문로2가,영업,9
중구,남대문로2가,폐업,9
중구,남대문로3가,영업,2
중구,남대문로3가,폐업,12
중구,남대문로4가,영업,7
중구,남대문로4가,폐업,20
중구,남대문로5가,영업,39
중구,남대문로5가,폐업,62
중구,남산동1가,영업,1
중구,남산동1가,폐업,4
중구,남산동2가,영업,14
중구,남산동2가,폐업,22
중구,남산동3가,영업,1
중구,남산동3가,폐업,10
중구,남창동,영업,27
중구,남창동,폐업,38
중구,남학동,폐업,2
중구,다동,영업,24
중구,다동,폐업,40
중구,만리동1가,영업,3
중구,만리동1가,폐업,27
중구,만리동2가,영업,5
중구,만리동2가,폐업,38
중구,명동1가,영업,17
중구,명동1가,폐업,24
중구,명동2가,영업,42
중구,명동2가,폐업,113
중구,무교동,영업,10
중구,무교동,폐업,14
중구,무학동,영업,4
중구,무학동,폐업,16
중구,묵정동,영업,6
중구,묵정동,폐업,13
중구,방산동,영업,5
중구,방산동,폐업,9
중구,봉래동1가,영업,7
중구,봉래동1가,폐업,10
중구,봉래동2가,영업,7
중구,봉래동2가,폐업,7
중구,북창동,영업,5
중구,북창동,폐업,16
중구,산림동,영업,5
중구,산림동,폐업,13
중구,삼각동,영업,4
중구,삼각동,폐업,2
중구,서소문동,영업,28
중구,서소문동,폐업,46
중구,소공동,영업,36
중구,소공동,폐업,62
중구,수표동,영업,10
중구,수표동,폐업,21
중구,수하동,영업,11
중구,수하동,폐업,12
중구,순화동,영업,22
중구,순화동,폐업,20
중구,신당동,영업,146
중구,신당동,폐업,172
중구,쌍림동,영업,13
중구,쌍림동,폐업,14
중구,예관동,영업,4
중구,예관동,폐업,8
중구,예장동,영업,5
중구,예장동,폐업,4
중구,오장동,영업,11
중구,오장동,폐업,20
중구,을지로1가,영업,26
중구,을지로1가,폐업,17
중구,을지로2가,영업,45
중구,을지로2가,폐업,66
중구,을지로3가,영업,21
중구,을지로3가,폐업,41
중구,을지로4가,영업,17
중구,을지로4가,폐업,26
중구,을지로5가,영업,8
중구,을지로5가,폐업,23
중구,을지로6가,영업,63
중구,을지로6가,폐업,104
중구,을지로7가,영업,13
중구,을지로7가,폐업,15
중구,의주로1가,영업,1
중구,의주로1가,폐업,4
중구,의주로2가,영업,1
중구,의주로2가,폐업,28
중구,인현동1가,영업,9
중구,인현동1가,폐업,23
중구,인현동2가,영업,9
중구,인현동2가,폐업,24
중구,입정동,영업,5
중구,입정동,폐업,20
중구,장교동,영업,5
중구,장교동,폐업,12
중구,장충동1가,영업,7
중구,장충동1가,폐업,10
중구,장충동2가,영업,23
중구,장충동2가,폐업,19
중구,저동1가,영업,6
중구,저동1가,폐업,11
중구,저동2가,영업,20
중구,저동2가,폐업,26
중구,정동,영업,12
중구,정동,폐업,21
중구,주교동,영업,18
중구,주교동,폐업,15
중구,주자동,영업,2
중구,중림동,영업,19
중구,중림동,폐업,70
중구,초동,영업,9
중구,초동,폐업,37
중구,충무로1가,영업,29
중구,충무로1가,폐업,77
중구,충무로2가,영업,35
중구,충무로2가,폐업,64
중구,충무로3가,영업,17
중구,충무로3가,폐업,40
중구,충무로4가,영업,15
중구,충무로4가,폐업,27
중구,충무로5가,영업,6
중구,충무로5가,폐업,17
중구,충정로1가,영업,8
중구,충정로1가,폐업,11
중구,태평로1가,영업,18
중구,태평로1가,폐업,16
중구,태평로2가,영업,23
중구,태평로2가,폐업,36
중구,필동1가,영업,10
중구,필동1가,폐업,16
중구,필동2가,영업,26
중구,필동2가,폐업,18
중구,필동3가,영업,18
중구,필동3가,폐업,5
중구,황학동,영업,26
중구,황학동,폐업,93
중구,회현동1가,영업,21
중구,회현동1가,폐업,28
중구,회현동2가,영업,8
중구,회현동2가,폐업,9
중구,회현동3가,영업,4
중구,회현동3가,폐업,17
중구,흥인동,영업,12
중구,흥인동,폐업,34
중랑구,망우동,영업,53
중랑구,망우동,폐업,108
중랑구,면목동,영업,101
중랑구,면목동,폐업,300
중랑구,묵동,영업,32
중랑구,묵동,폐업,86
중랑구,상봉동,영업,54
중랑구,상봉동,폐업,157
중랑구,신내동,영업,40
중랑구,신내동,폐업,32
중랑구,중화동,영업,32
중랑구,중화동,폐업,85
